Id,SpeakerName,Phrase,translation
140851021,カミラ,おかしいって！　色つけるにしたってシェシェもっとケチっしょ！？,太奇怪了！ 就算带上利息，雪雪原先也是个铁公鸡吧！？
140851022,雪,ケチじゃない節約家だ！　釣りはいらん！,那叫节约不叫铁公鸡！ 不需要找零！
140851023,雪,う～け～と～れ～ッ！！！,给～我～收～下～！！！
140851024,カミラ,でーきーねェーッ！！！,不——能——收——！！！
140851025,カミラ,イミフなお金もらうとか、マジありえないから！,收下这种意义不明的钱，真心不能接受！
140851026,雪,ええい、言わなきゃ分からないのか！？/n迷惑料だ！　黙って受け取ればいいだろ！,唉呀、不说你就不懂吗！？/n这是给你添麻烦的赔礼！　闭上嘴收下就好了！
140851027,カミラ,迷惑料とか余計わかんねーっての！/n迷惑かけられた覚えないんですけど！？,赔礼什么的就更不明白了！/n咱都不记得有过什么麻烦！？
140851028,雪,……この間、緋花里と揉めたとき迷惑かけただろ！,……前段时间，和绯花里吵架的时候不是给你添麻烦了吗！
140851029,雪,だからこれで納めろと言ってる……。,所以我才说让你收下……
140851030,カミラ,なーる。そういう理屈。,酱紫。这么个道理。
140851031,カミラ,だったら、シェシェ。回れ右。,既然这样，雪雪。向右转。
140851032,雪,？　なんだいきなり？　――って！,？　干嘛这么突然？　——啊！？
140851033,雪,フードに封筒ツッコんだな！,你把信封塞我兜帽里了是吧！
140851034,カミラ,ほい、たしかに返したかんね。/n受取拒否ってことでよろ。,是喔、这样就还回去了。/n这边不接受哈
140851035,雪,おいお前――,喂你这家伙——
140851036,カミラ,や、だって全然迷惑とか思ってねぇし。,哎呀、毕竟咱都没觉得是麻烦。
140851037,カミラ,だいたいさ、そんなん貰っちゃったらお金の関係になるじゃん。/nウチらってそういう関係？　違うっしょ？,再说了，要是收下这么多那不就是金钱关系了吗。/n咱俩是那种关系吗？
140851038,雪,それじゃケジメがつかないんだよ。/nお前が受け取らないなら劇団電姫に直接届けるからな。,那样就负不起责任了啊。/n要是你不肯收下的话我就直接邮到剧团电姬去。
140851039,カミラ,劇団にそんなん届いたらそれこそ迷惑だっての。/n感謝してるって気持ちはわかるけどさぁ……。,让剧团收到这种东西那才叫麻烦吧。/n虽然能理解你是在表达感谢……。
140851040,カミラ,……あー、いいこと思いついた。/nなら、こうしようよ。,……啊——、想到个好主意/n那就这样吧。
140851041,雪,対案なんぞいらん、選択肢はひとつだけだからな。/nお前は迷惑料を受け取る。ワタシはケジメをつける。ん！,不需要其他方案，只有这一个选项。/n你收下这份赔礼。我负起责任。嗯！
140851042,カミラ,どうしてもケジメつけたいなら、ウチの配信にゲストで出る。/nそれでチャラ。ど？,要是怎么都想担责的话，那就来咱直播间当嘉宾吧。/n那样就两情了。好吧？
140851043,雪,配信だぁ……？　それとこれとは関係ないだろ！？,直播……？　那和这件事没关系吧！？
140851044,カミラ,関係なくねーし。シェシェはウチにお礼したいんでしょ？/nなのに、相手の迷惑になることする？,怎么会没关系呢。雪雪是想向咱赔礼对吧？/n既然这样，却又要让人家为难？
140851045,カミラ,それってケジメって言っときながら、/n単なる自己満足じゃね？　シェシェはそれでいいわけ？,那样一来还说什么负起责任，/n单纯是自我满足了吧？　雪雪觉得那样可以吗？
140851046,雪,むぅ……。,唔……
140851047,カミラ,ウチのためにって考えてくれたことはわかる。/nシェシェにとって大事なお金、しかもあんな大金さ。,虽然咱也知道你在为咱着想。/n这是对雪雪来说很重要的钱，而且还这么大金额。
140851048,カミラ,だったら、ウチが喜ぶことしてもらう方が嬉しい。/n迷惑料とかガン萎えだし、それでいーじゃん。,既然那样，还是希望做点能让咱开心的事。/n赔礼什么的真心没意思，那样就行了啦。
140851049,カミラ,こないだのヒカりんとのコラボ、ちょーよかった！/nだからウチともコラボね。ヤバ、鬼楽しそう！,前段时间你和绯花里的联动搞得超级好！/n所以也和咱联动一下吧。糟糕、感觉超有趣！
140851050,雪,勝手に話を進めるな！/nワタシは出るなんてひと言も言ってないぞ！,别自顾自地说话！/n我这边可是一个字都没答应！
140851051,カミラ,じゃあなしてヒカりんとコラボしたん？/n『配信はコスパ悪い』っていつも言ってるっしょ？,那为啥之前跟绯花里联动了？/n雪雪不是一直说“直播效率太低了”吗？
140851052,雪,あれは……。,那是因为……。
140851053,カミラ,まー、理由は知らんけど。ヒカりんのトコ出たなら顔出してよ。/nウチフォロワーそこそこいるし、ついでに顔も売れっからさ。,哎、虽然不知道原因。但既然都在绯花里那边搞过了那就露个脸嘛。/n咱这边粉丝还是挺多的，顺便还能卖个脸熟喔、
140851054,雪,……ぐぬ。ケジメだぞ。ケジメをつけるためだ。,……咕唔。这是责任。这只是为了负起责任。
140851055,雪,しょうがないからちょっとだけ、出てやる……。,拿你没办法，就只陪你一会……。
140851056,カミラ,オッケー！　それで決まり！,OK——！　那就说好了！
140851057,雪,勘違いするなよ。ただ配信に出るんじゃない。,你别搞错了。我可不是白白陪你直播的。
140851058,雪,出てやるから迷惑料は――おい何してる？,既然陪你直播了那就给我收下——喂你在干嘛？
140851059,カミラ,ん？　シェシェとの配信に決まってんじゃん。,嗯？　那当然是准备跟雪雪直播啊。
140851060,カミラ,枠の名前、友情のケジメコラボ。どうよ？,频道名就叫，断绝的友情联动。怎么样？
140851061,雪,おい待て、今やるなんて聞いてないぞ。/nスマホしまえ！　先に迷惑料受け取れ！,喂等一下，我可没听说是现在开播啊。/n把手机收起来！　先收下这份赔礼！
140851062,カミラ,短いお昼休みのゲリラ配信はっじめるよー！,短暂的午休突击直播开始咯——！
140851063,カミラ,――お、早速来てくれてる人いるね～。/n今日はタイトル通り友情のケジメコラボ！　誰とコラボかわかる？,——噢、这么快就有人来看了～。/n今天正如标题所言是断绝的友情联动！　猜猜是和谁联动？
140851064,カミラ,あ、見えちゃってるか？　……それ！　珍しいコラボっしょ！,啊、已经看到了吗？　……没错！　这联动很难得吧！
140851065,カミラ,つーわけでじゃじゃーん！　銀河座の中華名人、シェシェー！,于是乎隆重介绍——！　银河座的中华小名家，雪雪——！
140851066,カミラ,ほらシェシェ、黙ってんのもったいないよ。/nなんかオモロい自己紹介よろ。,来嘛雪雪，不说话也太可惜了。/n来点有趣的自我介绍。
140851067,雪,無茶言うなよ！？,别提高要求啊！？
140851068,雪,くそぅ……ずいぶん高い迷惑料だ……。,可恶……这赔礼可真贵啊……。
