Id,SpeakerName,Phrase,translation
140852070,雪,まあいい……。これでケジメはつけた。/n迷惑料は受け取ってもらうぞ。ん！,唉行了……。这样就算负起责任了。/n你要收下赔礼喔。嗯！
140852071,カミラ,え？　コラボ配信したんだしチャラっしょ？,诶？　联动直播完不就两清了吗？
140852072,雪,話が違うだろ！　こっちは配信にも出たんだ！/nこれじゃケジメつけたことにならんだろ！？,这和说的不一样！　我还在你直播里出境了！/n这样的话就算不上担责了好吧！
140852073,カミラ,や、待て待て待て。結構ウルチャもらっちゃったし。,不是，等下等下等下。刚直播咱还收到了不少打赏。
140852074,カミラ,むしろお礼するのこっちじゃね？　あ、じゃあそれ出演料！,不如说是咱要跟雪雪道谢吧？　啊、那就当作演出费！
140852075,雪,はぁ！？,哈！？
140852076,カミラ,じゃ、ウチら５限移動教室だから。/nまたコラボしよーね！,好啦，咱第五节课在移动教室上。/n下次再一起联动吧！
140852077,雪,おいお前……！？/n出演料じゃなくて迷惑料だと言ってるだろ――,喂你这家伙……！？/n我都说了不是演出费而是赔礼——
140852078,雪,……くっ。,……可
140852079,雪,完全にアイツのペースに飲まれた……。/n配信者、恐ろしいやつらだ……。,完全被那家伙的节奏带跑了……/n主播，真是令人畏惧的存在……。
